股票代號,名稱,成交量,成交金額,開盤價,最高價,最低價,收盤價,漲跌價,成交筆數,RSI,KD,MACD,SMA,Momentum,籌碼集中度
00666R,富邦恒生國企反1,22000,0,0.00,0.00,0.00,8.58,0.00,0,2.20,0.86,3.58,9.29,8.75,22.00
00668,國泰美國道瓊,190060,0,0.00,0.00,0.00,56.10,0.00,0,19.01,5.61,51.10,33.05,57.22,190.06
00668K,國泰美國道瓊+U,200,0,0.00,0.00,0.00,17.92,0.00,0,0.02,1.79,12.92,13.96,18.28,0.20
00669R,國泰美國道瓊反1,434700,0,0.00,0.00,0.00,5.61,0.00,0,43.47,0.56,0.61,7.80,5.72,434.70
00670L,富邦NASDAQ正2,659563,0,0.00,0.00,0.00,162.15,0.00,0,65.96,16.21,157.15,86.08,165.39,659.56
00671R,富邦NASDAQ反1,8236154,0,0.00,0.00,0.00,2.83,0.00,0,823.62,0.28,-2.17,6.42,2.89,8236.15
00673R,期元大S&P原油反1,15371080,0,0.00,0.00,0.00,26.50,0.00,0,1537.11,2.65,21.50,18.25,27.03,15371.08
00674R,期元大S&P黃金反1,5860246,0,0.00,0.00,0.00,4.99,0.00,0,586.02,0.50,-0.01,7.50,5.09,5860.25
00675L,富邦臺灣加權正2,2004691,0,0.00,0.00,0.00,174.80,0.00,0,200.47,17.48,169.80,92.40,178.30,2004.69
00676R,富邦臺灣加權反1,1335940,0,0.00,0.00,0.00,8.16,0.00,0,133.59,0.82,3.16,9.08,8.32,1335.94
00678,群益那斯達克生技,469072,0,0.00,0.00,0.00,35.84,0.00,0,46.91,3.58,30.84,22.92,36.56,469.07
00680L,元大美債20正2,43030798,0,0.00,0.00,0.00,7.26,0.00,0,4303.08,0.73,2.26,8.63,7.41,43030.80
00681R,元大美債20反1,640300,0,0.00,0.00,0.00,20.66,0.00,0,64.03,2.07,15.66,15.33,21.07,640.30
00682U,期元大美元指數,4690,0,0.00,0.00,0.00,19.84,0.00,0,0.47,1.98,14.84,14.92,20.24,4.69
00683L,期元大美元指正2,113833,0,0.00,0.00,0.00,20.23,0.00,0,11.38,2.02,15.23,15.12,20.63,113.83
00684R,期元大美元指反1,77120,0,0.00,0.00,0.00,15.68,0.00,0,7.71,1.57,10.68,12.84,15.99,77.12
00685L,群益臺灣加權正2,455389,0,0.00,0.00,0.00,156.90,0.00,0,45.54,15.69,151.90,83.45,160.04,455.39
00686R,群益臺灣加權反1,1812709,0,0.00,0.00,0.00,1.45,0.00,0,181.27,0.14,-3.55,5.72,1.48,1812.71
00688L,國泰20年美債正2,14239863,0,0.00,0.00,0.00,7.25,0.00,0,1423.99,0.72,2.25,8.62,7.40,14239.86
00689R,國泰20年美債反1,153000,0,0.00,0.00,0.00,21.53,0.00,0,15.30,2.15,16.53,15.77,21.96,153.00
00690,兆豐藍籌30,587146,0,0.00,0.00,0.00,50.20,0.00,0,58.71,5.02,45.20,30.10,51.20,587.15
00692,富邦公司治理,1323876,0,0.00,0.00,0.00,63.65,0.00,0,132.39,6.37,58.65,36.83,64.92,1323.88
00693U,期街口S&P黃豆,1355994,0,0.00,0.00,0.00,20.43,0.00,0,135.60,2.04,15.43,15.21,20.84,1355.99
00700,富邦恒生國企,292791,0,0.00,0.00,0.00,18.53,0.00,0,29.28,1.85,13.53,14.27,18.90,292.79
00701,國泰股利精選30,1872208,0,0.00,0.00,0.00,29.01,0.00,0,187.22,2.90,24.01,19.51,29.59,1872.21
00702,國泰標普低波高息,110428,0,0.00,0.00,0.00,23.30,0.00,0,11.04,2.33,18.30,16.65,23.77,110.43
00703,台新MSCI中國,314655,0,0.00,0.00,0.00,22.01,0.00,0,31.47,2.20,17.01,16.01,22.45,314.65
00706L,期元大S&P日圓正2,13542565,0,0.00,0.00,0.00,20.67,0.00,0,1354.26,2.07,15.67,15.34,21.08,13542.57
00707R,期元大S&P日圓反1,105000,0,0.00,0.00,0.00,30.63,0.00,0,10.50,3.06,25.63,20.31,31.24,105.00
00708L,期元大S&P黃金正2,9510332,0,0.00,0.00,0.00,120.40,0.00,0,951.03,12.04,115.40,65.20,122.81,9510.33
00709,富邦歐洲,81164,0,0.00,0.00,0.00,38.20,0.00,0,8.12,3.82,33.20,24.10,38.96,81.16
00710B,復華彭博非投等債,230247,0,0.00,0.00,0.00,19.02,0.00,0,23.02,1.90,14.02,14.51,19.40,230.25
00711B,復華彭博新興債,163488,0,0.00,0.00,0.00,16.26,0.00,0,16.35,1.63,11.26,13.13,16.59,163.49
00712,復華富時不動產,17470249,0,0.00,0.00,0.00,9.60,0.00,0,1747.02,0.96,4.60,9.80,9.79,17470.25
00713,元大台灣高息低波,15413877,0,0.00,0.00,0.00,51.60,0.00,0,1541.39,5.16,46.60,30.80,52.63,15413.88
00714,群益道瓊美國地產,123190,0,0.00,0.00,0.00,20.18,0.00,0,12.32,2.02,15.18,15.09,20.58,123.19
00715L,期街口布蘭特正2,25999955,0,0.00,0.00,0.00,22.44,0.00,0,2600.00,2.24,17.44,16.22,22.89,25999.96
00717,富邦美國特別股,149288,0,0.00,0.00,0.00,15.34,0.00,0,14.93,1.53,10.34,12.67,15.65,149.29
00728,第一金工業30,78120,0,0.00,0.00,0.00,41.70,0.00,0,7.81,4.17,36.70,25.85,42.53,78.12
00730,富邦臺灣優質高息,375392,0,0.00,0.00,0.00,23.17,0.00,0,37.54,2.32,18.17,16.59,23.63,375.39
00731,復華富時高息低波,1007733,0,0.00,0.00,0.00,72.00,0.00,0,100.77,7.20,67.00,41.00,73.44,1007.73
