技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3021,鴻名,36.00,1347069,47.37,RSI 低於 30，可能即將反彈
RSI,2324,仁寶,42.35,263712531,47.37,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,6.26,844964,47.39,RSI 低於 30，可能即將反彈
RSI,6116,彩晶,20.45,43646780,47.39,RSI 低於 30，可能即將反彈
RSI,2353,宏碁,39.10,196654912,47.39,RSI 低於 30，可能即將反彈
RSI,1409,新纖,27.30,42340863,47.40,RSI 低於 30，可能即將反彈
RSI,6924,榮惠-KY創,169.50,167835,47.41,RSI 低於 30，可能即將反彈
RSI,2327,國巨*,743.00,24383227,47.54,RSI 低於 30，可能即將反彈
RSI,3231,緯創,176.00,128624056,47.57,RSI 低於 30，可能即將反彈
RSI,2356,英業達,77.80,138221092,47.67,RSI 低於 30，可能即將反彈
KD,1718,中纖,9.68,33368748,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3015,全漢,62.70,11744567,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1515,力山,25.30,3446047,10.00,KD 指標大於 80，可能形成黃金交叉
KD,4720,德淵,29.70,9847045,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1805,寶徠,12.10,3036535,10.00,KD 指標大於 80，可能形成黃金交叉
KD,9110,越南控-DR,3.96,492001,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1714,和桐,12.10,39115552,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3043,科風,24.20,1184795,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3054,立萬利,83.60,598620,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3027,盛達,24.25,7149270,9.98,KD 指標大於 80，可能形成黃金交叉
MACD,6515,穎崴,8650.00,344631,430.00,MACD 大於 0，可能進入上升趨勢
MACD,7822,倍利科,1175.00,584494,105.00,MACD 大於 0，可能進入上升趨勢
MACD,6442,光聖,2145.00,5777112,80.00,MACD 大於 0，可能進入上升趨勢
MACD,6409,旭隼,844.00,1705028,76.00,MACD 大於 0，可能進入上升趨勢
MACD,2404,漢唐,1230.00,6428543,75.00,MACD 大於 0，可能進入上升趨勢
MACD,2360,致茂,2620.00,2502013,75.00,MACD 大於 0，可能進入上升趨勢
MACD,7610,聯友金屬-創,1730.00,220826,70.00,MACD 大於 0，可能進入上升趨勢
MACD,3406,玉晶光,659.00,4607335,53.00,MACD 大於 0，可能進入上升趨勢
MACD,6139,亞翔,825.00,9442140,41.00,MACD 大於 0，可能進入上升趨勢
MACD,6446,藥華藥,938.00,2644650,39.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,8650.00,344631,8435.00,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,7385.00,435258,7455.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,5570.00,1704775,5585.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,5350.00,460040,5350.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,4830.00,1722407,4830.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,4400.00,1429563,4502.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,4430.00,11204169,4487.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4340.00,1544304,4467.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,3825.00,2589597,3905.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3730.00,1442589,3817.50,均線持續上升，顯示多頭趨勢
Momentum,3015,全漢,62.70,11744567,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1718,中纖,9.68,33368748,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1515,力山,25.30,3446047,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1805,寶徠,12.10,3036535,110.00,動能指標上升，顯示市場買氣強勁
Momentum,3043,科風,24.20,1184795,110.00,動能指標上升，顯示市場買氣強勁
Momentum,3054,立萬利,83.60,598620,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1714,和桐,12.10,39115552,110.00,動能指標上升，顯示市場買氣強勁
Momentum,9110,越南控-DR,3.96,492001,110.00,動能指標上升，顯示市場買氣強勁
Momentum,4720,德淵,29.70,9847045,110.00,動能指標上升，顯示市場買氣強勁
Momentum,3027,盛達,24.25,7149270,109.98,動能指標上升，顯示市場買氣強勁
ChipRatio,2409,友達,29.25,878685417,8786.85,籌碼集中度提升，顯示主力介入
ChipRatio,2883,凱基金,27.40,526935732,5269.36,籌碼集中度提升，顯示主力介入
ChipRatio,00403A,主動統一升級50,10.59,406992048,4069.92,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,125.00,380918568,3809.19,籌碼集中度提升，顯示主力介入
ChipRatio,2324,仁寶,42.35,263712531,2637.13,籌碼集中度提升，顯示主力介入
ChipRatio,2887,台新新光金,28.55,246346373,2463.46,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,38.30,245990855,2459.91,籌碼集中度提升，顯示主力介入
ChipRatio,0050,元大台灣50,106.10,236782252,2367.82,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,179.50,227016133,2270.16,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,15.48,207364354,2073.64,籌碼集中度提升，顯示主力介入
Bollinger,00953B,群益優選非投等債,9.53,31560967,-0.00%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00984D,主動聯博全球非投,10.01,11070566,0.13%,貼近布林下軌，落入超賣區間
Bollinger,00712,復華富時不動產,8.68,94273491,0.75%,貼近布林下軌，落入超賣區間
Bollinger,2485,兆赫,65.80,14053846,0.88%,貼近布林下軌，落入超賣區間
Bollinger,00664R,國泰臺灣加權反1,1.63,16801121,2.37%,貼近布林下軌，落入超賣區間
Bollinger,6176,瑞儀,101.50,11567451,2.64%,貼近布林下軌，落入超賣區間
Bollinger,00632R,元大台灣50反1,10.14,104630701,2.77%,貼近布林下軌，落入超賣區間
Bollinger,2367,燿華,62.00,24111636,2.94%,貼近布林下軌，落入超賣區間
Bollinger,1101,台泥,24.45,37205139,3.80%,貼近布林下軌，落入超賣區間
Bollinger,1717,長興,76.40,13799775,4.36%,貼近布林下軌，落入超賣區間
