技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,00715L,期街口布蘭特正2,47.54,22051283,46.20,RSI 低於 30，可能即將反彈
RSI,8039,台虹,216.00,43179948,47.37,RSI 低於 30，可能即將反彈
RSI,6969,成信實業*-創,34.70,990598,47.37,RSI 低於 30，可能即將反彈
RSI,2483,百容,36.15,386990,47.38,RSI 低於 30，可能即將反彈
RSI,7610,聯友金屬-創,1495.00,161857,47.39,RSI 低於 30，可能即將反彈
RSI,1310,台苯,8.97,5645505,47.39,RSI 低於 30，可能即將反彈
RSI,6166,凌華,150.00,7660219,47.39,RSI 低於 30，可能即將反彈
RSI,6531,愛普*,773.00,4339503,47.39,RSI 低於 30，可能即將反彈
RSI,4169,泰宗,223.00,65159,47.40,RSI 低於 30，可能即將反彈
RSI,6141,柏承,34.95,4699288,47.49,RSI 低於 30，可能即將反彈
KD,3018,隆銘綠能,14.30,77653,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2910,統領,25.90,74628,9.98,KD 指標大於 80，可能形成黃金交叉
KD,2332,友訊,24.30,74548808,9.95,KD 指標大於 80，可能形成黃金交叉
KD,1526,日馳,17.70,1210367,9.94,KD 指標大於 80，可能形成黃金交叉
KD,1435,中福,25.50,20257,9.91,KD 指標大於 80，可能形成黃金交叉
KD,4976,佳凌,33.90,2790401,9.89,KD 指標大於 80，可能形成黃金交叉
KD,2939,永邑-KY,20.20,186008,9.78,KD 指標大於 80，可能形成黃金交叉
KD,2408,南亞科,436.00,81191012,8.73,KD 指標大於 80，可能形成黃金交叉
KD,6598,ABC-KY,30.00,1306729,8.30,KD 指標大於 80，可能形成黃金交叉
KD,00673R,期元大S&P原油反1,12.72,41961632,7.80,KD 指標大於 80，可能形成黃金交叉
MACD,2059,川湖,8275.00,531014,540.00,MACD 大於 0，可能進入上升趨勢
MACD,3008,大立光,4090.00,2213868,170.00,MACD 大於 0，可能進入上升趨勢
MACD,6515,穎崴,6395.00,182445,100.00,MACD 大於 0，可能進入上升趨勢
MACD,3653,健策,3525.00,785394,95.00,MACD 大於 0，可能進入上升趨勢
MACD,6446,藥華藥,1195.00,2059810,60.00,MACD 大於 0，可能進入上升趨勢
MACD,2383,台光電,4815.00,1443744,60.00,MACD 大於 0，可能進入上升趨勢
