技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,6451,訊芯-KY,450.00,13899708,47.37,RSI 低於 30，可能即將反彈
RSI,2491,吉祥全,45.00,5334137,47.37,RSI 低於 30，可能即將反彈
RSI,8046,南電,1080.00,23330491,47.37,RSI 低於 30，可能即將反彈
RSI,6715,嘉基,307.50,1556786,47.38,RSI 低於 30，可能即將反彈
RSI,8021,尖點,413.50,14442146,47.39,RSI 低於 30，可能即將反彈
RSI,2486,一詮,259.50,34953265,47.40,RSI 低於 30，可能即將反彈
RSI,3605,宏致,114.50,13684319,47.41,RSI 低於 30，可能即將反彈
RSI,4764,雙鍵,217.50,1961994,47.54,RSI 低於 30，可能即將反彈
RSI,7835,永悅健康-創,23.75,83195,47.55,RSI 低於 30，可能即將反彈
RSI,6269,台郡,65.00,12283027,47.55,RSI 低於 30，可能即將反彈
KD,2438,翔耀,22.05,1014704,9.98,KD 指標大於 80，可能形成黃金交叉
KD,3021,鴻名,22.10,525343,9.95,KD 指標大於 80，可能形成黃金交叉
KD,7730,暉盛-創,188.00,343073,9.94,KD 指標大於 80，可能形成黃金交叉
KD,2464,盟立,222.00,17067426,9.90,KD 指標大於 80，可能形成黃金交叉
KD,6906,現觀科,83.40,397569,9.88,KD 指標大於 80，可能形成黃金交叉
KD,7610,聯友金屬-創,1655.00,1152011,8.88,KD 指標大於 80，可能形成黃金交叉
KD,2884,玉山金,43.20,96702581,6.67,KD 指標大於 80，可能形成黃金交叉
KD,5608,四維航,17.45,13237460,5.76,KD 指標大於 80，可能形成黃金交叉
KD,2236,百達-KY,124.50,237106,5.51,KD 指標大於 80，可能形成黃金交叉
KD,2481,強茂,156.00,66498096,5.41,KD 指標大於 80，可能形成黃金交叉
MACD,7769,鴻勁,5870.00,940844,160.00,MACD 大於 0，可能進入上升趨勢
MACD,7610,聯友金屬-創,1655.00,1152011,135.00,MACD 大於 0，可能進入上升趨勢
MACD,2454,聯發科,4340.00,9510164,65.00,MACD 大於 0，可能進入上升趨勢
MACD,6446,藥華藥,1350.00,3196968,45.00,MACD 大於 0，可能進入上升趨勢
MACD,2360,致茂,2015.00,1935146,40.00,MACD 大於 0，可能進入上升趨勢
MACD,2308,台達電,1760.00,10346094,30.00,MACD 大於 0，可能進入上升趨勢
MACD,2464,盟立,222.00,17067426,20.00,MACD 大於 0，可能進入上升趨勢
MACD,7730,暉盛-創,188.00,343073,17.00,MACD 大於 0，可能進入上升趨勢
MACD,2404,漢唐,1035.00,1457353,10.00,MACD 大於 0，可能進入上升趨勢
MACD,6426,統新,265.50,3546338,8.50,MACD 大於 0，可能進入上升趨勢
SMA,2059,川湖,13450.00,651444,13657.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,7150.00,1688885,7480.00,均線持續上升，顯示多頭趨勢
SMA,6515,穎崴,7000.00,819545,7025.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,5800.00,1600424,5847.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,5870.00,940844,5790.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,5615.00,902445,5692.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,5290.00,1640346,5367.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,4340.00,9510164,4307.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4050.00,1876714,4050.00,均線持續上升，顯示多頭趨勢
SMA,3017,奇鋐,3300.00,4418016,3305.00,均線持續上升，顯示多頭趨勢
Momentum,2438,翔耀,22.05,1014704,109.98,動能指標上升，顯示市場買氣強勁
Momentum,3021,鴻名,22.10,525343,109.95,動能指標上升，顯示市場買氣強勁
Momentum,7730,暉盛-創,188.00,343073,109.94,動能指標上升，顯示市場買氣強勁
Momentum,2464,盟立,222.00,17067426,109.90,動能指標上升，顯示市場買氣強勁
Momentum,6906,現觀科,83.40,397569,109.88,動能指標上升，顯示市場買氣強勁
Momentum,7610,聯友金屬-創,1655.00,1152011,108.88,動能指標上升，顯示市場買氣強勁
Momentum,2884,玉山金,43.20,96702581,106.67,動能指標上升，顯示市場買氣強勁
Momentum,5608,四維航,17.45,13237460,105.76,動能指標上升，顯示市場買氣強勁
Momentum,2236,百達-KY,124.50,237106,105.51,動能指標上升，顯示市場買氣強勁
Momentum,2481,強茂,156.00,66498096,105.41,動能指標上升，顯示市場買氣強勁
ChipRatio,2409,友達,26.55,440835576,4408.36,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,48.10,365400350,3654.00,籌碼集中度提升，顯示主力介入
ChipRatio,00406A,主動中信台灣收益,9.46,202872481,2028.72,籌碼集中度提升，顯示主力介入
ChipRatio,00685L,群益臺灣加權正2,11.69,179920274,1799.20,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,169.00,161434224,1614.34,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,29.13,153989254,1539.89,籌碼集中度提升，顯示主力介入
ChipRatio,009828,中信台日韓PCB,9.33,146075643,1460.76,籌碼集中度提升，顯示主力介入
ChipRatio,00403A,主動統一升級50,10.06,140341986,1403.42,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,125.00,139492332,1394.92,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,35.41,138859967,1388.60,籌碼集中度提升，顯示主力介入
Bollinger,3149,正達,59.50,13607314,-1.92%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,6919,康霈*,84.50,11601300,-0.82%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,3189,景碩,775.00,27084870,-0.62%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,2344,華邦電,169.00,161434224,-0.34%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00753L,中信中國50正2,9.13,8161802,-0.09%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00953B,群益優選非投等債,9.56,24223769,-0.04%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00712,復華富時不動產,8.64,38907745,0.05%,貼近布林下軌，落入超賣區間
Bollinger,2887I,台新新光辛特,9.52,9277835,0.14%,貼近布林下軌，落入超賣區間
Bollinger,00984D,主動聯博全球非投,9.91,11490297,0.15%,貼近布林下軌，落入超賣區間
Bollinger,00997A,主動群益美國增長,10.80,7427203,0.23%,貼近布林下軌，落入超賣區間
