技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,7730,暉盛-創,172.50,197698,47.46,RSI 低於 30，可能即將反彈
RSI,8150,南茂,67.30,72669222,47.73,RSI 低於 30，可能即將反彈
RSI,6934,心誠鎂,89.20,448486,47.75,RSI 低於 30，可能即將反彈
RSI,3008,大立光,2605.00,4296691,48.02,RSI 低於 30，可能即將反彈
RSI,2527,宏璟,36.70,2241513,48.04,RSI 低於 30，可能即將反彈
RSI,1305,華夏,14.90,16235622,48.06,RSI 低於 30，可能即將反彈
RSI,6657,華安,46.20,869638,48.20,RSI 低於 30，可能即將反彈
RSI,2337,旺宏,131.00,119145758,48.52,RSI 低於 30，可能即將反彈
RSI,9105,泰金寶-DR,5.60,35724880,48.53,RSI 低於 30，可能即將反彈
RSI,1309,台達化,19.60,15422425,48.57,RSI 低於 30，可能即將反彈
KD,3055,蔚華科,68.20,1071680,10.00,KD 指標大於 80，可能形成黃金交叉
KD,5244,弘凱,46.20,4216354,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6672,騰輝電子-KY,176.00,3800597,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2360,致茂,2255.00,5191788,10.00,KD 指標大於 80，可能形成黃金交叉
KD,8021,尖點,390.50,4277551,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6909,創控,64.90,7113388,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1711,永光,47.95,73476393,9.98,KD 指標大於 80，可能形成黃金交叉
KD,6668,中揚光,38.60,619088,9.97,KD 指標大於 80，可能形成黃金交叉
KD,6205,詮欣,75.00,6738285,9.97,KD 指標大於 80，可能形成黃金交叉
KD,2597,潤弘,165.50,1708720,9.97,KD 指標大於 80，可能形成黃金交叉
MACD,6515,穎崴,10305.00,512887,485.00,MACD 大於 0，可能進入上升趨勢
MACD,2360,致茂,2255.00,5191788,205.00,MACD 大於 0，可能進入上升趨勢
MACD,7769,鴻勁,4500.00,1896445,205.00,MACD 大於 0，可能進入上升趨勢
MACD,2059,川湖,3640.00,1005655,195.00,MACD 大於 0，可能進入上升趨勢
MACD,3653,健策,4565.00,1399455,185.00,MACD 大於 0，可能進入上升趨勢
MACD,7750,新代,1810.00,554306,140.00,MACD 大於 0，可能進入上升趨勢
MACD,6669,緯穎,3805.00,2838818,105.00,MACD 大於 0，可能進入上升趨勢
MACD,8996,高力,1220.00,1479470,105.00,MACD 大於 0，可能進入上升趨勢
MACD,2404,漢唐,1025.00,11342323,90.00,MACD 大於 0，可能進入上升趨勢
MACD,6830,汎銓,885.00,315244,80.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,10305.00,512887,10062.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,4565.00,1399455,4472.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,4500.00,1896445,4397.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,3800.00,2796395,3817.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,3805.00,2838818,3752.50,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,3640.00,1005655,3542.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,3515.00,3102471,3495.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,3255.00,1284330,3300.00,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,2605.00,4296691,2712.50,均線持續上升，顯示多頭趨勢
SMA,3533,嘉澤,2490.00,709688,2500.00,均線持續上升，顯示多頭趨勢
Momentum,3055,蔚華科,68.20,1071680,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6672,騰輝電子-KY,176.00,3800597,110.00,動能指標上升，顯示市場買氣強勁
Momentum,5244,弘凱,46.20,4216354,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2360,致茂,2255.00,5191788,110.00,動能指標上升，顯示市場買氣強勁
Momentum,8021,尖點,390.50,4277551,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6909,創控,64.90,7113388,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1711,永光,47.95,73476393,109.98,動能指標上升，顯示市場買氣強勁
Momentum,6668,中揚光,38.60,619088,109.97,動能指標上升，顯示市場買氣強勁
Momentum,6205,詮欣,75.00,6738285,109.97,動能指標上升，顯示市場買氣強勁
Momentum,2597,潤弘,165.50,1708720,109.97,動能指標上升，顯示市場買氣強勁
ChipRatio,00981A,主動統一台股增長,25.10,507438184,5074.38,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,73.00,497159388,4971.59,籌碼集中度提升，顯示主力介入
ChipRatio,2409,友達,19.85,365101354,3651.01,籌碼集中度提升，顯示主力介入
ChipRatio,1802,台玻,74.20,346753094,3467.53,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,25.90,338854980,3388.55,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,25.59,218060323,2180.60,籌碼集中度提升，顯示主力介入
ChipRatio,00992A,主動群益科技創新,16.07,216931303,2169.31,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,11.95,185620481,1856.20,籌碼集中度提升，顯示主力介入
ChipRatio,00940,元大台灣價值高息,10.30,183829054,1838.29,籌碼集中度提升，顯示主力介入
ChipRatio,00878,國泰永續高股息,24.06,154681685,1546.82,籌碼集中度提升，顯示主力介入
