技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3037,欣興,999.00,5892091,47.37,RSI 低於 30，可能即將反彈
RSI,6415,矽力*-KY,412.50,4448947,47.39,RSI 低於 30，可能即將反彈
RSI,2491,吉祥全,50.80,636975,47.39,RSI 低於 30，可能即將反彈
RSI,7795,長廣,508.00,1494562,47.39,RSI 低於 30，可能即將反彈
RSI,6715,嘉基,318.50,813496,47.40,RSI 低於 30，可能即將反彈
RSI,6446,藥華藥,1395.00,10723537,47.45,RSI 低於 30，可能即將反彈
RSI,7769,鴻勁,5860.00,1526208,47.45,RSI 低於 30，可能即將反彈
RSI,3189,景碩,819.00,31932413,47.67,RSI 低於 30，可能即將反彈
RSI,1597,直得,138.50,4283166,47.68,RSI 低於 30，可能即將反彈
RSI,2327,國巨*,545.00,71750955,47.72,RSI 低於 30，可能即將反彈
KD,6933,AMAX-KY,286.00,2056481,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1326,台化,68.30,71396602,9.98,KD 指標大於 80，可能形成黃金交叉
KD,1303,南亞,242.50,173676393,9.98,KD 指標大於 80，可能形成黃金交叉
KD,2434,統懋,62.00,2052954,9.93,KD 指標大於 80，可能形成黃金交叉
KD,2455,全新,477.00,32356290,9.91,KD 指標大於 80，可能形成黃金交叉
KD,1312,國喬,15.55,108410961,9.89,KD 指標大於 80，可能形成黃金交叉
KD,7711,永擎,535.00,1893081,9.86,KD 指標大於 80，可能形成黃金交叉
KD,7835,永悅健康-創,27.90,242920,9.84,KD 指標大於 80，可能形成黃金交叉
KD,2421,建準,179.50,21013490,9.79,KD 指標大於 80，可能形成黃金交叉
KD,8103,瀚荃,119.00,3561783,9.68,KD 指標大於 80，可能形成黃金交叉
MACD,3008,大立光,7650.00,3700248,585.00,MACD 大於 0，可能進入上升趨勢
MACD,3653,健策,5990.00,1749901,205.00,MACD 大於 0，可能進入上升趨勢
MACD,3406,玉晶光,1005.00,11110178,88.00,MACD 大於 0，可能進入上升趨勢
MACD,3443,創意,6100.00,2037697,85.00,MACD 大於 0，可能進入上升趨勢
MACD,3017,奇鋐,3425.00,4468442,65.00,MACD 大於 0，可能進入上升趨勢
MACD,7711,永擎,535.00,1893081,48.00,MACD 大於 0，可能進入上升趨勢
MACD,2455,全新,477.00,32356290,43.00,MACD 大於 0，可能進入上升趨勢
MACD,2368,金像電,1165.00,20981904,35.00,MACD 大於 0，可能進入上升趨勢
MACD,6515,穎崴,6285.00,324076,35.00,MACD 大於 0，可能進入上升趨勢
MACD,2357,華碩,999.00,5187639,34.00,MACD 大於 0，可能進入上升趨勢
SMA,2059,川湖,14180.00,982861,14240.00,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,7650.00,3700248,7357.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,7095.00,1921970,7147.50,均線持續上升，顯示多頭趨勢
SMA,6515,穎崴,6285.00,324076,6267.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,5860.00,1526208,6175.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,6100.00,2037697,6057.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,5990.00,1749901,5887.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,5485.00,1999204,5487.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4075.00,2040909,4070.00,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,3925.00,7222243,3955.00,均線持續上升，顯示多頭趨勢
Momentum,6933,AMAX-KY,286.00,2056481,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1326,台化,68.30,71396602,109.98,動能指標上升，顯示市場買氣強勁
Momentum,1303,南亞,242.50,173676393,109.98,動能指標上升，顯示市場買氣強勁
Momentum,2434,統懋,62.00,2052954,109.93,動能指標上升，顯示市場買氣強勁
Momentum,2455,全新,477.00,32356290,109.91,動能指標上升，顯示市場買氣強勁
Momentum,1312,國喬,15.55,108410961,109.89,動能指標上升，顯示市場買氣強勁
Momentum,7711,永擎,535.00,1893081,109.86,動能指標上升，顯示市場買氣強勁
Momentum,7835,永悅健康-創,27.90,242920,109.84,動能指標上升，顯示市場買氣強勁
