技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3026,禾伸堂,621.00,4726567,47.37,RSI 低於 30，可能即將反彈
RSI,6243,迅杰,46.45,3286291,47.37,RSI 低於 30，可能即將反彈
RSI,6226,光鼎,20.30,3974451,47.37,RSI 低於 30，可能即將反彈
RSI,1617,榮星,19.40,1202051,47.37,RSI 低於 30，可能即將反彈
RSI,6831,邁科,551.00,447301,47.38,RSI 低於 30，可能即將反彈
RSI,4764,雙鍵,266.50,3913225,47.38,RSI 低於 30，可能即將反彈
RSI,7795,長廣,456.50,394398,47.38,RSI 低於 30，可能即將反彈
RSI,7610,聯友金屬-創,2170.00,623678,47.38,RSI 低於 30，可能即將反彈
RSI,3450,聯鈞,389.00,3577990,47.38,RSI 低於 30，可能即將反彈
RSI,2492,華新科,277.00,1274622,47.39,RSI 低於 30，可能即將反彈
KD,00715L,期街口布蘭特正2,49.00,15247074,11.36,KD 指標大於 80，可能形成黃金交叉
KD,6533,晶心科,231.00,1620034,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6969,成信實業*-創,26.40,1630161,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1467,南緯,9.57,1153351,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6928,攸泰科技,54.00,709002,9.98,KD 指標大於 80，可能形成黃金交叉
KD,1468,昶和,14.95,137324,9.93,KD 指標大於 80，可能形成黃金交叉
KD,3532,台勝科,466.00,12923121,9.91,KD 指標大於 80，可能形成黃金交叉
KD,4566,時碩工業,66.60,2343147,9.90,KD 指標大於 80，可能形成黃金交叉
KD,2388,威盛,72.40,9638215,9.86,KD 指標大於 80，可能形成黃金交叉
KD,8045,達運光電,61.30,351456,9.86,KD 指標大於 80，可能形成黃金交叉
MACD,7750,新代,1950.00,350754,135.00,MACD 大於 0，可能進入上升趨勢
MACD,1590,亞德客-KY,1335.00,1342429,70.00,MACD 大於 0，可能進入上升趨勢
MACD,6669,緯穎,4685.00,1414812,65.00,MACD 大於 0，可能進入上升趨勢
MACD,3665,貿聯-KY,1820.00,3398243,55.00,MACD 大於 0，可能進入上升趨勢
MACD,3532,台勝科,466.00,12923121,42.00,MACD 大於 0，可能進入上升趨勢
MACD,3533,嘉澤,1905.00,1139929,40.00,MACD 大於 0，可能進入上升趨勢
MACD,5269,祥碩,1470.00,1285723,35.00,MACD 大於 0，可能進入上升趨勢
MACD,2330,台積電,2320.00,55790346,30.00,MACD 大於 0，可能進入上升趨勢
MACD,6409,旭隼,988.00,551049,21.00,MACD 大於 0，可能進入上升趨勢
MACD,6533,晶心科,231.00,1620034,21.00,MACD 大於 0，可能進入上升趨勢
SMA,2059,川湖,7750.00,797667,7820.00,均線持續上升，顯示多頭趨勢
SMA,6515,穎崴,6050.00,388870,6052.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,6005.00,770274,6037.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,4685.00,1414812,4652.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,4395.00,3220536,4445.00,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,3875.00,1549724,3942.50,均線持續上升，顯示多頭趨勢
SMA,3443,創意,3745.00,1809521,3790.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,3365.00,2061321,3422.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,3340.00,9227986,3355.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3200.00,1510316,3205.00,均線持續上升，顯示多頭趨勢
Momentum,00715L,期街口布蘭特正2,49.00,15247074,111.36,動能指標上升，顯示市場買氣強勁
Momentum,6533,晶心科,231.00,1620034,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6969,成信實業*-創,26.40,1630161,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1467,南緯,9.57,1153351,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6928,攸泰科技,54.00,709002,109.98,動能指標上升，顯示市場買氣強勁
Momentum,1468,昶和,14.95,137324,109.93,動能指標上升，顯示市場買氣強勁
Momentum,3532,台勝科,466.00,12923121,109.91,動能指標上升，顯示市場買氣強勁
Momentum,4566,時碩工業,66.60,2343147,109.90,動能指標上升，顯示市場買氣強勁
Momentum,2388,威盛,72.40,9638215,109.86,動能指標上升，顯示市場買氣強勁
Momentum,8045,達運光電,61.30,351456,109.86,動能指標上升，顯示市場買氣強勁
ChipRatio,00403A,主動統一升級50,9.28,461738249,4617.38,籌碼集中度提升，顯示主力介入
ChipRatio,0050,元大台灣50,99.20,373784717,3737.85,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,50.40,366167261,3661.67,籌碼集中度提升，顯示主力介入
ChipRatio,00685L,群益臺灣加權正2,10.41,337745894,3377.46,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,32.06,327989317,3279.89,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,130.00,297589744,2975.90,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,25.90,271681930,2716.82,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,14.14,242830957,2428.31,籌碼集中度提升，顯示主力介入
ChipRatio,2409,友達,25.40,235634776,2356.35,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,10.90,198909293,1989.09,籌碼集中度提升，顯示主力介入
Bollinger,4958,臻鼎-KY,478.50,35909408,-4.30%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,2303,聯電,130.00,297589744,-3.67%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00927,群益半導體收益,34.50,46379843,-3.45%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,6239,力成,266.50,20952221,-3.26%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,2382,廣達,316.00,36017076,-3.12%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00996A,主動兆豐台灣豐收,12.65,11416768,-2.86%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,1711,永光,36.75,6709716,-2.62%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,6282,康舒,46.85,16923032,-2.61%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00994A,主動第一金台股優,14.73,7956705,-2.57%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00992A,主動群益科技創新,14.87,49228323,-2.56%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
