技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3576,聯合再生,15.40,20775857,47.38,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,18.60,830519,47.39,RSI 低於 30，可能即將反彈
RSI,6285,啟碁,224.00,60205482,47.46,RSI 低於 30，可能即將反彈
RSI,2605,新興,36.25,19982303,47.48,RSI 低於 30，可能即將反彈
RSI,2305,全友,17.90,14078563,47.48,RSI 低於 30，可能即將反彈
RSI,5706,鳳凰,52.50,2886523,47.86,RSI 低於 30，可能即將反彈
RSI,6426,統新,199.00,5968472,47.89,RSI 低於 30，可能即將反彈
RSI,2313,華通,257.50,104284402,48.00,RSI 低於 30，可能即將反彈
RSI,6442,光聖,2075.00,4265620,48.20,RSI 低於 30，可能即將反彈
RSI,2748,雲品,42.25,997179,48.26,RSI 低於 30，可能即將反彈
KD,2409,友達,19.80,556950317,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6789,采鈺,407.00,17000534,10.00,KD 指標大於 80，可能形成黃金交叉
KD,8104,錸寶,35.75,2807294,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2049,上銀,275.00,18440320,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3673,TPK-KY,60.50,9396876,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1312,國喬,14.85,46274804,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6456,GIS-KY,63.80,4584759,10.00,KD 指標大於 80，可能形成黃金交叉
KD,4956,光鋐,41.80,26550650,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6949,沛爾生醫-創,782.00,613278,9.99,KD 指標大於 80，可能形成黃金交叉
KD,3092,鴻碩,33.05,1202648,9.98,KD 指標大於 80，可能形成黃金交叉
MACD,2383,台光電,3605.00,3407745,280.00,MACD 大於 0，可能進入上升趨勢
MACD,3443,創意,3050.00,4080105,275.00,MACD 大於 0，可能進入上升趨勢
MACD,3008,大立光,2670.00,3642434,240.00,MACD 大於 0，可能進入上升趨勢
MACD,2059,川湖,3445.00,1010618,110.00,MACD 大於 0，可能進入上升趨勢
MACD,3017,奇鋐,2310.00,3772108,110.00,MACD 大於 0，可能進入上升趨勢
MACD,6669,緯穎,3755.00,2138683,110.00,MACD 大於 0，可能進入上升趨勢
MACD,3661,世芯-KY,3200.00,2175920,110.00,MACD 大於 0，可能進入上升趨勢
MACD,2454,聯發科,1720.00,12892742,100.00,MACD 大於 0，可能進入上升趨勢
MACD,2368,金像電,1150.00,6912618,95.00,MACD 大於 0，可能進入上升趨勢
MACD,7769,鴻勁,4185.00,1378483,85.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,8470.00,359908,8515.00,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,4185.00,1378483,4142.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,4000.00,852925,4022.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,3755.00,2138683,3700.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,3605.00,3407745,3465.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,3445.00,1010618,3390.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,3200.00,2175920,3145.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,3050.00,4080105,2912.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,2670.00,3642434,2550.00,均線持續上升，顯示多頭趨勢
SMA,3665,貿聯-KY,2295.00,2970579,2260.00,均線持續上升，顯示多頭趨勢
Momentum,3673,TPK-KY,60.50,9396876,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6789,采鈺,407.00,17000534,110.00,動能指標上升，顯示市場買氣強勁
Momentum,8104,錸寶,35.75,2807294,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2409,友達,19.80,556950317,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2049,上銀,275.00,18440320,110.00,動能指標上升，顯示市場買氣強勁
Momentum,4956,光鋐,41.80,26550650,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1312,國喬,14.85,46274804,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6456,GIS-KY,63.80,4584759,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6949,沛爾生醫-創,782.00,613278,109.99,動能指標上升，顯示市場買氣強勁
Momentum,3092,鴻碩,33.05,1202648,109.98,動能指標上升，顯示市場買氣強勁
ChipRatio,2409,友達,19.80,556950317,5569.50,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,27.25,412731989,4127.32,籌碼集中度提升，顯示主力介入
ChipRatio,1802,台玻,68.20,292052076,2920.52,籌碼集中度提升，顯示主力介入
ChipRatio,2337,旺宏,155.50,255706791,2557.07,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,23.62,249507643,2495.08,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,24.83,216060657,2160.61,籌碼集中度提升，顯示主力介入
ChipRatio,00997A,主動群益美國增長,10.65,212532014,2125.32,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,11.67,205245697,2052.46,籌碼集中度提升，顯示主力介入
ChipRatio,00940,元大台灣價值高息,9.96,184185234,1841.85,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,93.50,167859423,1678.59,籌碼集中度提升，顯示主力介入
