技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3437,榮創,20.30,5348035,47.37,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,34.75,694249,47.38,RSI 低於 30，可能即將反彈
RSI,1589,永冠-KY,5.54,8432214,47.39,RSI 低於 30，可能即將反彈
RSI,6994,富威電力,65.60,2305492,47.40,RSI 低於 30，可能即將反彈
RSI,1905,華紙,15.05,10941181,47.40,RSI 低於 30，可能即將反彈
RSI,2314,台揚,16.95,1101672,47.41,RSI 低於 30，可能即將反彈
RSI,3712,永崴投控,19.70,1449183,47.41,RSI 低於 30，可能即將反彈
RSI,1735,日勝化,23.00,876899,47.42,RSI 低於 30，可能即將反彈
RSI,2243,宏旭-KY,19.90,1966559,47.44,RSI 低於 30，可能即將反彈
RSI,2380,虹光,5.30,1006183,47.49,RSI 低於 30，可能即將反彈
KD,3167,大量,445.50,12708323,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6909,創控,48.45,3123931,9.99,KD 指標大於 80，可能形成黃金交叉
KD,2364,倫飛,66.20,873961,9.97,KD 指標大於 80，可能形成黃金交叉
KD,1309,台達化,25.95,53264129,9.96,KD 指標大於 80，可能形成黃金交叉
KD,3714,富采,54.20,45397542,9.94,KD 指標大於 80，可能形成黃金交叉
KD,6168,宏齊,26.00,13553796,9.94,KD 指標大於 80，可能形成黃金交叉
KD,6830,汎銓,565.00,5759569,9.92,KD 指標大於 80，可能形成黃金交叉
KD,6405,悅城,37.15,1276619,9.91,KD 指標大於 80，可能形成黃金交叉
KD,8039,台虹,122.00,16524819,9.91,KD 指標大於 80，可能形成黃金交叉
KD,1323,永裕,23.30,962697,9.91,KD 指標大於 80，可能形成黃金交叉
MACD,7822,倍利科,1615.00,1071121,70.00,MACD 大於 0，可能進入上升趨勢
MACD,6830,汎銓,565.00,5759569,51.00,MACD 大於 0，可能進入上升趨勢
MACD,3167,大量,445.50,12708323,40.50,MACD 大於 0，可能進入上升趨勢
MACD,3037,欣興,519.00,49200504,30.50,MACD 大於 0，可能進入上升趨勢
MACD,6933,AMAX-KY,139.50,337257,12.50,MACD 大於 0，可能進入上升趨勢
MACD,7610,聯友金屬-創,378.00,1131430,11.50,MACD 大於 0，可能進入上升趨勢
MACD,8039,台虹,122.00,16524819,11.00,MACD 大於 0，可能進入上升趨勢
MACD,5434,崇越,331.50,1330306,9.00,MACD 大於 0，可能進入上升趨勢
MACD,6491,晶碩,290.00,471160,8.50,MACD 大於 0，可能進入上升趨勢
MACD,6426,統新,157.50,448311,8.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,6605.00,435413,6947.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,3835.00,1309214,3845.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3710.00,1606526,3830.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,3410.00,1307355,3415.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,3345.00,520393,3400.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,2785.00,4087382,2822.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,2705.00,2276688,2717.50,均線持續上升，顯示多頭趨勢
SMA,3443,創意,2320.00,1707978,2337.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,2140.00,466551,2165.00,均線持續上升，顯示多頭趨勢
SMA,3017,奇鋐,2070.00,3100871,2090.00,均線持續上升，顯示多頭趨勢
Momentum,3167,大量,445.50,12708323,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6909,創控,48.45,3123931,109.99,動能指標上升，顯示市場買氣強勁
Momentum,2364,倫飛,66.20,873961,109.97,動能指標上升，顯示市場買氣強勁
Momentum,1309,台達化,25.95,53264129,109.96,動能指標上升，顯示市場買氣強勁
Momentum,3714,富采,54.20,45397542,109.94,動能指標上升，顯示市場買氣強勁
Momentum,6168,宏齊,26.00,13553796,109.94,動能指標上升，顯示市場買氣強勁
Momentum,6830,汎銓,565.00,5759569,109.92,動能指標上升，顯示市場買氣強勁
Momentum,6405,悅城,37.15,1276619,109.91,動能指標上升，顯示市場買氣強勁
Momentum,8039,台虹,122.00,16524819,109.91,動能指標上升，顯示市場買氣強勁
Momentum,1323,永裕,23.30,962697,109.91,動能指標上升，顯示市場買氣強勁
ChipRatio,2409,友達,16.85,700945979,7009.46,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,20.00,289231883,2892.32,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,24.65,280976969,2809.77,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,20.22,254627021,2546.27,籌碼集中度提升，顯示主力介入
ChipRatio,4906,正文,39.30,188353559,1883.54,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,91.80,183485734,1834.86,籌碼集中度提升，顯示主力介入
ChipRatio,6770,力積電,53.50,155762985,1557.63,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,10.49,152167198,1521.67,籌碼集中度提升，顯示主力介入
ChipRatio,0056,元大高股息,37.82,142688419,1426.88,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,14.49,138133676,1381.34,籌碼集中度提升，顯示主力介入
