技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,00715L,期街口布蘭特正2,42.60,22979970,46.98,RSI 低於 30，可能即將反彈
RSI,6890,來億-KY,230.50,560578,47.38,RSI 低於 30，可能即將反彈
RSI,8454,富邦媒,321.00,1787297,47.38,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,3.64,1579978,47.40,RSI 低於 30，可能即將反彈
RSI,6405,悅城,62.50,4026813,47.42,RSI 低於 30，可能即將反彈
RSI,4916,事欣科,99.50,15514853,48.07,RSI 低於 30，可能即將反彈
RSI,1438,三地開發,22.50,626591,48.34,RSI 低於 30，可能即將反彈
RSI,00642U,期元大S&P石油,25.86,13014023,48.34,RSI 低於 30，可能即將反彈
RSI,6924,榮惠-KY創,109.50,35566,48.34,RSI 低於 30，可能即將反彈
RSI,00910,第一金太空衛星,70.45,9203121,48.35,RSI 低於 30，可能即將反彈
KD,6155,鈞寶,90.20,18777210,10.00,KD 指標大於 80，可能形成黃金交叉
KD,7822,倍利科,1100.00,191168,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2338,光罩,53.90,10150000,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2426,鼎元,74.80,9141905,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3311,閎暉,41.30,3930021,9.99,KD 指標大於 80，可能形成黃金交叉
KD,6141,柏承,35.25,363236,9.98,KD 指標大於 80，可能形成黃金交叉
KD,2460,建通,34.70,1860079,9.98,KD 指標大於 80，可能形成黃金交叉
KD,3041,揚智,27.00,5633383,9.98,KD 指標大於 80，可能形成黃金交叉
KD,3450,聯鈞,507.00,5477784,9.98,KD 指標大於 80，可能形成黃金交叉
KD,6449,鈺邦,463.00,955936,9.98,KD 指標大於 80，可能形成黃金交叉
MACD,3443,創意,4815.00,1252068,435.00,MACD 大於 0，可能進入上升趨勢
MACD,3008,大立光,4420.00,3675345,400.00,MACD 大於 0，可能進入上升趨勢
MACD,6515,穎崴,9925.00,665184,335.00,MACD 大於 0，可能進入上升趨勢
MACD,2454,聯發科,4470.00,12014769,290.00,MACD 大於 0，可能進入上升趨勢
MACD,2383,台光電,5030.00,2220308,200.00,MACD 大於 0，可能進入上升趨勢
MACD,7610,聯友金屬-創,1745.00,403024,155.00,MACD 大於 0，可能進入上升趨勢
MACD,3653,健策,3835.00,1451242,145.00,MACD 大於 0，可能進入上升趨勢
MACD,3661,世芯-KY,4250.00,1292083,145.00,MACD 大於 0，可能進入上升趨勢
MACD,8996,高力,1255.00,1450761,110.00,MACD 大於 0，可能進入上升趨勢
MACD,7822,倍利科,1100.00,191168,100.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,9925.00,665184,9757.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,7205.00,459268,7207.50,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,6960.00,799656,6935.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,5030.00,2220308,4930.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,4900.00,1005218,4875.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,4815.00,1252068,4597.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,4470.00,12014769,4325.00,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,4420.00,3675345,4220.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4250.00,1292083,4177.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3835.00,1451242,3762.50,均線持續上升，顯示多頭趨勢
Momentum,6155,鈞寶,90.20,18777210,110.00,動能指標上升，顯示市場買氣強勁
Momentum,7822,倍利科,1100.00,191168,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2426,鼎元,74.80,9141905,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2338,光罩,53.90,10150000,110.00,動能指標上升，顯示市場買氣強勁
Momentum,3311,閎暉,41.30,3930021,109.99,動能指標上升，顯示市場買氣強勁
Momentum,6141,柏承,35.25,363236,109.98,動能指標上升，顯示市場買氣強勁
Momentum,2460,建通,34.70,1860079,109.98,動能指標上升，顯示市場買氣強勁
Momentum,3041,揚智,27.00,5633383,109.98,動能指標上升，顯示市場買氣強勁
Momentum,3450,聯鈞,507.00,5477784,109.98,動能指標上升，顯示市場買氣強勁
Momentum,6449,鈺邦,463.00,955936,109.98,動能指標上升，顯示市場買氣強勁
ChipRatio,00403A,主動統一升級50,10.61,823217335,8232.17,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,141.50,328881762,3288.82,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,31.47,288026078,2880.26,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,37.07,275707742,2757.08,籌碼集中度提升，顯示主力介入
ChipRatio,00919,群益台灣精選高息,30.69,270373735,2703.74,籌碼集中度提升，顯示主力介入
ChipRatio,2409,友達,24.10,234168728,2341.69,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,189.00,229481900,2294.82,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,10.23,137325376,1373.25,籌碼集中度提升，顯示主力介入
ChipRatio,2408,南亞科,395.50,132122225,1321.22,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,15.38,130696044,1306.96,籌碼集中度提升，顯示主力介入
Bollinger,-,-,-,-,-,資料不足無法計算 (可能觸發證交所 IP 限制)
