技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,6806,森崴能源,25.40,3176000,47.39,RSI 低於 30，可能即將反彈
RSI,2314,台揚,12.45,574306,47.43,RSI 低於 30，可能即將反彈
RSI,9136,巨騰-DR,8.70,1865743,47.62,RSI 低於 30，可能即將反彈
RSI,6443,元晶,37.05,48238711,47.84,RSI 低於 30，可能即將反彈
RSI,2408,南亞科,205.00,90700533,47.90,RSI 低於 30，可能即將反彈
RSI,7822,倍利科,1700.00,932072,48.23,RSI 低於 30，可能即將反彈
RSI,2399,映泰,35.45,28992009,48.30,RSI 低於 30，可能即將反彈
RSI,6770,力積電,54.00,134072246,48.39,RSI 低於 30，可能即將反彈
RSI,8940,新天地,17.50,150091,48.41,RSI 低於 30，可能即將反彈
RSI,9914,美利達,58.10,6919534,48.42,RSI 低於 30，可能即將反彈
KD,4169,泰宗,168.50,1198318,16.21,KD 指標大於 80，可能形成黃金交叉
KD,2702,華園,14.30,838961,10.00,KD 指標大於 80，可能形成黃金交叉
KD,4949,有成精密,77.00,7550546,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1717,長興,73.80,106577189,9.99,KD 指標大於 80，可能形成黃金交叉
KD,3714,富采,57.30,49593669,9.98,KD 指標大於 80，可能形成黃金交叉
KD,2426,鼎元,43.00,22925356,9.97,KD 指標大於 80，可能形成黃金交叉
KD,2409,友達,18.75,671934540,9.97,KD 指標大於 80，可能形成黃金交叉
KD,3054,立萬利,68.40,259110,9.97,KD 指標大於 80，可能形成黃金交叉
KD,2243,宏旭-KY,22.65,1768976,9.95,KD 指標大於 80，可能形成黃金交叉
KD,6715,嘉基,414.50,2221722,9.95,KD 指標大於 80，可能形成黃金交叉
MACD,3653,健策,4240.00,1608721,230.00,MACD 大於 0，可能進入上升趨勢
MACD,6515,穎崴,7995.00,133609,185.00,MACD 大於 0，可能進入上升趨勢
MACD,3443,創意,2655.00,3435635,145.00,MACD 大於 0，可能進入上升趨勢
MACD,2360,致茂,1840.00,6396566,115.00,MACD 大於 0，可能進入上升趨勢
MACD,3665,貿聯-KY,2130.00,3770175,115.00,MACD 大於 0，可能進入上升趨勢
MACD,2368,金像電,1095.00,9838380,97.00,MACD 大於 0，可能進入上升趨勢
MACD,8996,高力,1010.00,5061367,89.00,MACD 大於 0，可能進入上升趨勢
MACD,3533,嘉澤,2310.00,1398947,80.00,MACD 大於 0，可能進入上升趨勢
MACD,3583,辛耘,612.00,4928080,55.00,MACD 大於 0，可能進入上升趨勢
MACD,6139,亞翔,605.00,9408883,51.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,7995.00,133609,7902.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,4245.00,1023786,4252.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,4240.00,1608721,4125.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,3580.00,1430609,3575.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,3275.00,429516,3295.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,3220.00,3254067,3195.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,2895.00,1639285,2877.50,均線持續上升，顯示多頭趨勢
SMA,3443,創意,2655.00,3435635,2582.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,2280.00,715701,2280.00,均線持續上升，顯示多頭趨勢
SMA,3533,嘉澤,2310.00,1398947,2270.00,均線持續上升，顯示多頭趨勢
Momentum,4169,泰宗,168.50,1198318,116.21,動能指標上升，顯示市場買氣強勁
Momentum,4949,有成精密,77.00,7550546,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2702,華園,14.30,838961,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1717,長興,73.80,106577189,109.99,動能指標上升，顯示市場買氣強勁
Momentum,3714,富采,57.30,49593669,109.98,動能指標上升，顯示市場買氣強勁
Momentum,2426,鼎元,43.00,22925356,109.97,動能指標上升，顯示市場買氣強勁
Momentum,2409,友達,18.75,671934540,109.97,動能指標上升，顯示市場買氣強勁
Momentum,3054,立萬利,68.40,259110,109.97,動能指標上升，顯示市場買氣強勁
Momentum,2243,宏旭-KY,22.65,1768976,109.95,動能指標上升，顯示市場買氣強勁
Momentum,6715,嘉基,414.50,2221722,109.95,動能指標上升，顯示市場買氣強勁
ChipRatio,2409,友達,18.75,671934540,6719.35,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,26.95,585534130,5855.34,籌碼集中度提升，顯示主力介入
ChipRatio,00400A,主動國泰動能高息,10.90,238045041,2380.45,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,22.58,222254859,2222.55,籌碼集中度提升，顯示主力介入
ChipRatio,1802,台玻,59.50,203015163,2030.15,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,11.19,195168219,1951.68,籌碼集中度提升，顯示主力介入
ChipRatio,2367,燿華,77.50,185765539,1857.66,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,22.81,171729467,1717.29,籌碼集中度提升，顯示主力介入
ChipRatio,2337,旺宏,142.00,170630596,1706.31,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,91.00,135311587,1353.12,籌碼集中度提升，顯示主力介入
