技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,6949,沛爾生醫*-創,50.30,2865242,21.89,RSI 處於相對低檔，目前指標數值：21.89 (已連續符合 17 日)，目前價格低於 5 日均價:此為近期買點
RSI,00712,復華富時不動產,7.98,35338396,23.11,RSI 處於相對低檔，目前指標數值：23.11 (已連續符合 9 日)，目前價格低於 5 日均價:此為近期買點
RSI,1722,台肥,41.75,2717203,24.42,RSI 處於相對低檔，目前指標數值：24.42 (已連續符合 11 日)，目前價格低於 5 日均價:此為近期買點
RSI,2542,興富發,39.55,47100231,25.94,RSI 處於相對低檔，目前指標數值：25.94 (已連續符合 1 日)，目前價格低於 5 日均價:此為近期買點
RSI,9914,美利達,66.40,1633185,26.74,RSI 處於相對低檔，目前指標數值：26.74 (已連續符合 9 日)，目前價格低於 5 日均價:此為近期買點
RSI,00963,中信全球高股息,12.74,1621866,29.68,RSI 處於相對低檔，目前指標數值：29.68 (已連續符合 2 日)，目前價格低於 5 日均價:此為近期買點
RSI,2601,益航,7.06,0,32.40,RSI 處於相對低檔，目前指標數值：32.40 (已連續符合 3 日)，目前價格低於 5 日均價:此為近期買點
RSI,00671R,富邦NASDAQ反1,2.34,2515619,32.42,RSI 處於相對低檔，目前指標數值：32.42 (已連續符合 1 日)，目前價格低於 5 日均價:此為近期買點
RSI,1442,名軒,27.80,792954,32.89,RSI 處於相對低檔，目前指標數值：32.89 (已連續符合 1 日)，目前價格低於 5 日均價:此為近期買點
RSI,2501,國建,21.20,2982446,33.49,RSI 處於相對低檔，目前指標數值：33.49 (已連續符合 1 日)，目前價格低於 5 日均價:此為近期買點
KD,2254,巨鎧精密-創,86.60,3079177,99.98,KD 呈現多頭向上攻擊，目前指標數值：99.98 (已連續符合 21 日)，目前價格高於 5 日均價:此為近期買點
KD,2305,全友,63.60,6650574,99.85,KD 呈現多頭向上攻擊，目前指標數值：99.85 (已連續符合 22 日)，目前價格高於 5 日均價:此為近期買點
KD,3016,嘉晶,145.50,31070097,98.45,KD 呈現多頭向上攻擊，目前指標數值：98.45 (已連續符合 10 日)，目前價格高於 5 日均價:此為近期買點
KD,2303,聯電,160.00,124365368,98.38,KD 呈現多頭向上攻擊，目前指標數值：98.38 (已連續符合 6 日)，目前價格高於 5 日均價:此為近期買點
KD,6715,嘉基,459.50,1172047,97.60,KD 呈現多頭向上攻擊，目前指標數值：97.60 (已連續符合 13 日)，目前價格高於 5 日均價:此為近期買點
KD,3605,宏致,180.00,32625125,97.27,KD 呈現多頭向上攻擊，目前指標數值：97.27 (已連續符合 11 日)，目前價格高於 5 日均價:此為近期買點
KD,3055,蔚華科,203.50,25013633,96.67,KD 呈現多頭向上攻擊，目前指標數值：96.67 (已連續符合 12 日)，目前價格高於 5 日均價:此為近期買點
KD,00878,國泰永續高股息,35.09,26401674,96.24,KD 呈現多頭向上攻擊，目前指標數值：96.24 (已連續符合 5 日)，目前價格高於 5 日均價:此為近期買點
KD,2412,中華電,145.50,8322187,95.55,KD 呈現多頭向上攻擊，目前指標數值：95.55 (已連續符合 1 日)，目前價格高於 5 日均價:此為近期買點
KD,2033,佳大,37.30,5857927,95.50,KD 呈現多頭向上攻擊，目前指標數值：95.50 (已連續符合 5 日)，目前價格高於 5 日均價:此為近期買點
MACD,2454,聯發科,5185.00,6410224,260.38,MACD 處於多頭上升波段，目前指標數值：260.38 (已連續符合 19 日)，目前價格高於 20 日均價:此為近期買點
MACD,6805,富世達,2600.00,2549501,143.27,MACD 處於多頭上升波段，目前指標數值：143.27 (已連續符合 2 日)，目前價格高於 20 日均價:此為近期買點
MACD,3017,奇鋐,3470.00,2646917,109.24,MACD 處於多頭上升波段，目前指標數值：109.24 (已連續符合 1 日)，目前價格高於 20 日均價:此為近期買點
MACD,8996,高力,1540.00,5765020,88.46,MACD 處於多頭上升波段，目前指標數值：88.46 (已連續符合 6 日)，目前價格高於 20 日均價:此為近期買點
MACD,2360,致茂,2325.00,2614483,64.21,MACD 處於多頭上升波段，目前指標數值：64.21 (已連續符合 4 日)，目前價格高於 20 日均價:此為近期買點
MACD,1560,中砂,955.00,3370758,57.41,MACD 處於多頭上升波段，目前指標數值：57.41 (已連續符合 17 日)，目前價格高於 20 日均價:此為近期買點
MACD,6426,統新,391.50,3158409,37.12,MACD 處於多頭上升波段，目前指標數值：37.12 (已連續符合 37 日)，目前價格高於 20 日均價:此為近期買點
MACD,6526,達發,840.00,4744603,36.68,MACD 處於多頭上升波段，目前指標數值：36.68 (已連續符合 4 日)，目前價格高於 20 日均價:此為近期買點
MACD,2455,全新,552.00,3307031,36.57,MACD 處於多頭上升波段，目前指標數值：36.57 (已連續符合 1 日)，目前價格高於 20 日均價:此為近期買點
MACD,3167,大量,890.00,6358164,32.96,MACD 處於多頭上升波段，目前指標數值：32.96 (已連續符合 1 日)，目前價格高於 20 日均價:此為近期買點
SMA,2305,全友,63.60,6650574,43.21%,5MA 站上 20MA 多頭排列 (乖離率 +43.21%)，目前指標數值：+43.21% (已連續符合 19 日)，目前價格高於 20 日均價:此為近期買點
SMA,6168,宏齊,41.20,25281145,26.42%,5MA 站上 20MA 多頭排列 (乖離率 +26.42%)，目前指標數值：+26.42% (已連續符合 34 日)，目前價格高於 20 日均價:此為近期買點
SMA,6226,光鼎,42.70,3513026,23.68%,5MA 站上 20MA 多頭排列 (乖離率 +23.68%)，目前指標數值：+23.68% (已連續符合 24 日)，目前價格高於 20 日均價:此為近期買點
SMA,2033,佳大,37.30,5857927,23.10%,5MA 站上 20MA 多頭排列 (乖離率 +23.10%)，目前指標數值：+23.10% (已連續符合 37 日)，目前價格高於 20 日均價:此為近期買點
SMA,3055,蔚華科,203.50,25013633,21.45%,5MA 站上 20MA 多頭排列 (乖離率 +21.45%)，目前指標數值：+21.45% (已連續符合 27 日)，目前價格高於 20 日均價:此為近期買點
SMA,3605,宏致,180.00,32625125,20.33%,5MA 站上 20MA 多頭排列 (乖離率 +20.33%)，目前指標數值：+20.33% (已連續符合 10 日)，目前價格高於 20 日均價:此為近期買點
SMA,6715,嘉基,459.50,1172047,20.13%,5MA 站上 20MA 多頭排列 (乖離率 +20.13%)，目前指標數值：+20.13% (已連續符合 5 日)，目前價格高於 20 日均價:此為近期買點
SMA,6426,統新,391.50,3158409,19.99%,5MA 站上 20MA 多頭排列 (乖離率 +19.99%)，目前指標數值：+19.99% (已連續符合 35 日)，目前價格高於 20 日均價:此為近期買點
SMA,2468,華經,45.45,1698625,19.95%,5MA 站上 20MA 多頭排列 (乖離率 +19.95%)，目前指標數值：+19.95% (已連續符合 8 日)，目前價格高於 20 日均價:此為近期買點
SMA,1560,中砂,955.00,3370758,17.81%,5MA 站上 20MA 多頭排列 (乖離率 +17.81%)，目前指標數值：+17.81% (已連續符合 17 日)，目前價格高於 20 日均價:此為近期買點
Momentum,2305,全友,63.60,6650574,+81.71%,近 10 日動能強勁 (漲幅 +81.71%)，目前指標數值：+81.71% (已連續符合 18 日)，目前價格高於 10 日均價:此為近期買點
Momentum,6861,睿生光電,273.00,5896719,+47.17%,近 10 日動能強勁 (漲幅 +47.17%)，目前指標數值：+47.17% (已連續符合 10 日)，目前價格高於 10 日均價:此為近期買點
Momentum,3016,嘉晶,145.50,31070097,+45.50%,近 10 日動能強勁 (漲幅 +45.50%)，目前指標數值：+45.50% (已連續符合 10 日)，目前價格高於 10 日均價:此為近期買點
Momentum,6226,光鼎,42.70,3513026,+44.01%,近 10 日動能強勁 (漲幅 +44.01%)，目前指標數值：+44.01% (已連續符合 8 日)，目前價格高於 10 日均價:此為近期買點
Momentum,2468,華經,45.45,1698625,+40.06%,近 10 日動能強勁 (漲幅 +40.06%)，目前指標數值：+40.06% (已連續符合 9 日)，目前價格高於 10 日均價:此為近期買點
Momentum,6168,宏齊,41.20,25281145,+39.19%,近 10 日動能強勁 (漲幅 +39.19%)，目前指標數值：+39.19% (已連續符合 25 日)，目前價格高於 10 日均價:此為近期買點
Momentum,3605,宏致,180.00,32625125,+39.00%,近 10 日動能強勁 (漲幅 +39.00%)，目前指標數值：+39.00% (已連續符合 7 日)，目前價格高於 10 日均價:此為近期買點
Momentum,2033,佳大,37.30,5857927,+36.63%,近 10 日動能強勁 (漲幅 +36.63%)，目前指標數值：+36.63% (已連續符合 39 日)，目前價格高於 10 日均價:此為近期買點
Momentum,3055,蔚華科,203.50,25013633,+36.12%,近 10 日動能強勁 (漲幅 +36.12%)，目前指標數值：+36.12% (已連續符合 22 日)，目前價格高於 10 日均價:此為近期買點
Momentum,1709,和益,48.30,84696782,+35.67%,近 10 日動能強勁 (漲幅 +35.67%)，目前指標數值：+35.67% (已連續符合 6 日)，目前價格高於 10 日均價:此為近期買點
ChipRatio,2542,興富發,39.55,47100231,3.50,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：3.50 (已連續符合 19 日，法人買超：+125 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,009817,國泰日本不動產,8.87,1737243,2.27,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：2.27 (已連續符合 1 日，法人買超：+1061 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,6214,精誠,190.00,2526682,1.28,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：1.28 (已連續符合 15 日，法人買超：+299 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,1608,華榮,35.75,1885615,1.20,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：1.20 (已連續符合 5 日，法人買超：+550 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,6153,嘉聯益,17.05,2156076,1.15,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：1.15 (已連續符合 7 日，法人買超：+769 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,1476,儒鴻,281.00,1130483,0.99,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：0.99 (已連續符合 15 日，法人買超：+430 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,1905,華紙,13.10,1338384,0.93,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：0.93 (已連續符合 21 日，法人買超：+441 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,00882,中信中國高股息,14.78,2647161,0.91,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：0.91 (已連續符合 1 日，法人買超：+750 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,2886,兆豐金,50.00,20917406,0.87,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：0.87 (已連續符合 2 日，法人買超：+1916 張)，目前價格低於 10 日均價:此為近期買點
ChipRatio,3591,艾笛森,24.60,1597731,0.85,籌碼集中度提升，顯示主力介入 (10 日均量比值大於 0.5 且三大法人買超 且小於 0.5 時平倉)，目前指標數值：0.85 (已連續符合 3 日，法人買超：+102 張)，目前價格低於 10 日均價:此為近期買點
Bollinger,2542,興富發,39.55,47100231,-7.73%,💥 跌破布林下軌 (乖離率 -7.73%)，目前指標數值：-7.73% (已連續符合 1 日)，目前價格低於布林下軌:此為近期買點
Bollinger,1442,名軒,27.80,792954,-2.38%,💥 跌破布林下軌 (乖離率 -2.38%)，目前指標數值：-2.38% (已連續符合 1 日)，目前價格低於布林下軌:此為近期買點
Bollinger,1808,潤隆,31.90,4243866,-1.87%,💥 跌破布林下軌 (乖離率 -1.87%)，目前指標數值：-1.87% (已連續符合 1 日)，目前價格低於布林下軌:此為近期買點
Bollinger,00671R,富邦NASDAQ反1,2.34,2515619,-1.44%,💥 跌破布林下軌 (乖離率 -1.44%)，目前指標數值：-1.44% (已連續符合 1 日)，目前價格低於布林下軌:此為近期買點
Bollinger,00963,中信全球高股息,12.74,1621866,-0.65%,💥 跌破布林下軌 (乖離率 -0.65%)，目前指標數值：-0.65% (已連續符合 2 日)，目前價格低於布林下軌:此為近期買點
Bollinger,00676R,富邦臺灣加權反1,5.25,2797171,-0.29%,💥 跌破布林下軌 (乖離率 -0.29%)，目前指標數值：-0.29% (已連續符合 2 日)，目前價格低於布林下軌:此為近期買點
Bollinger,5871,中租-KY,108.00,10543407,-0.22%,💥 跌破布林下軌 (乖離率 -0.22%)，目前指標數值：-0.22% (已連續符合 2 日)，目前價格低於布林下軌:此為近期買點
Bollinger,00632R,元大台灣50反1,9.49,68070890,-0.21%,💥 跌破布林下軌 (乖離率 -0.21%)，目前指標數值：-0.21% (已連續符合 1 日)，目前價格低於布林下軌:此為近期買點
Bollinger,00664R,國泰臺灣加權反1,1.54,15305913,-0.12%,💥 跌破布林下軌 (乖離率 -0.12%)，目前指標數值：-0.12% (已連續符合 2 日)，目前價格低於布林下軌:此為近期買點
Bollinger,009817,國泰日本不動產,8.87,1737243,-0.11%,💥 跌破布林下軌 (乖離率 -0.11%)，目前指標數值：-0.11% (已連續符合 3 日)，目前價格低於布林下軌:此為近期買點
