技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,7711,永擎,420.50,272372,47.38,RSI 低於 30，可能即將反彈
RSI,6405,悅城,58.00,821975,47.39,RSI 低於 30，可能即將反彈
RSI,6862,三集瑞-KY,168.50,1794427,47.40,RSI 低於 30，可能即將反彈
RSI,2630,亞航,45.60,4771044,47.50,RSI 低於 30，可能即將反彈
RSI,8033,雷虎,144.00,11105416,47.52,RSI 低於 30，可能即將反彈
RSI,6921,嘉雨思-創,82.40,162002,47.55,RSI 低於 30，可能即將反彈
RSI,3528,安馳,82.50,2837334,47.55,RSI 低於 30，可能即將反彈
RSI,6753,龍德造船,131.50,4051785,47.56,RSI 低於 30，可能即將反彈
RSI,2243,宏旭-KY,21.65,3155492,47.63,RSI 低於 30，可能即將反彈
RSI,6108,競國,20.00,7092453,47.85,RSI 低於 30，可能即將反彈
KD,1721,三晃,31.35,12326720,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1809,中釉,39.60,12762844,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6715,嘉基,489.50,2035208,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3653,健策,4015.00,4163150,10.00,KD 指標大於 80，可能形成黃金交叉
KD,4551,智伸科,148.50,1251180,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6831,邁科,594.00,2209867,10.00,KD 指標大於 80，可能形成黃金交叉
KD,7769,鴻勁,6380.00,1484440,10.00,KD 指標大於 80，可能形成黃金交叉
KD,3209,全科,60.50,6651199,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6152,百一,14.85,1249634,10.00,KD 指標大於 80，可能形成黃金交叉
KD,8213,志超,41.80,6809218,10.00,KD 指標大於 80，可能形成黃金交叉
MACD,7769,鴻勁,6380.00,1484440,580.00,MACD 大於 0，可能進入上升趨勢
MACD,3443,創意,5730.00,2419167,520.00,MACD 大於 0，可能進入上升趨勢
MACD,3661,世芯-KY,5375.00,1273298,485.00,MACD 大於 0，可能進入上升趨勢
MACD,6515,穎崴,10090.00,245882,460.00,MACD 大於 0，可能進入上升趨勢
MACD,3653,健策,4015.00,4163150,365.00,MACD 大於 0，可能進入上升趨勢
MACD,2454,聯發科,3880.00,8690923,250.00,MACD 大於 0，可能進入上升趨勢
MACD,7750,新代,2795.00,254528,250.00,MACD 大於 0，可能進入上升趨勢
MACD,2345,智邦,2590.00,8849256,215.00,MACD 大於 0，可能進入上升趨勢
MACD,2059,川湖,5520.00,1794792,200.00,MACD 大於 0，可能進入上升趨勢
MACD,3665,貿聯-KY,2905.00,2750212,155.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,10090.00,245882,9860.00,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,6380.00,1484440,6090.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,5730.00,2419167,5470.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,5520.00,1794792,5420.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,5340.00,2206874,5270.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,5375.00,1273298,5132.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,4850.00,2728505,4800.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,4015.00,4163150,3832.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,3880.00,8690923,3755.00,均線持續上升，顯示多頭趨勢
SMA,3665,貿聯-KY,2905.00,2750212,2827.50,均線持續上升，顯示多頭趨勢
Momentum,1721,三晃,31.35,12326720,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6715,嘉基,489.50,2035208,110.00,動能指標上升，顯示市場買氣強勁
Momentum,3653,健策,4015.00,4163150,110.00,動能指標上升，顯示市場買氣強勁
Momentum,4551,智伸科,148.50,1251180,110.00,動能指標上升，顯示市場買氣強勁
