技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,3443,創意,4590.00,4074783,47.37,RSI 低於 30，可能即將反彈
RSI,6861,睿生光電,416.00,1599761,47.38,RSI 低於 30，可能即將反彈
RSI,2911,麗嬰房,8.33,480126,47.38,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,6.10,369938,47.40,RSI 低於 30，可能即將反彈
RSI,8996,高力,1095.00,4103657,47.40,RSI 低於 30，可能即將反彈
RSI,2929,淘帝-KY,6.00,2505655,47.43,RSI 低於 30，可能即將反彈
RSI,3090,日電貿,208.50,2940019,47.44,RSI 低於 30，可能即將反彈
RSI,6456,GIS-KY,71.60,36774170,47.54,RSI 低於 30，可能即將反彈
RSI,1597,直得,180.50,7600989,47.56,RSI 低於 30，可能即將反彈
RSI,6834,天二科技,70.50,1527997,47.57,RSI 低於 30，可能即將反彈
KD,1568,倉佑,41.25,1658522,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1521,大億,26.95,205333,10.00,KD 指標大於 80，可能形成黃金交叉
KD,6573,虹揚-KY,14.85,1341609,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1524,耿鼎,31.90,5399702,10.00,KD 指標大於 80，可能形成黃金交叉
KD,4566,時碩工業,67.20,4646886,9.98,KD 指標大於 80，可能形成黃金交叉
KD,1522,堤維西,31.45,3536658,9.97,KD 指標大於 80，可能形成黃金交叉
KD,2428,興勤,292.50,2874111,9.96,KD 指標大於 80，可能形成黃金交叉
KD,8454,富邦媒,210.00,2765166,9.95,KD 指標大於 80，可能形成黃金交叉
KD,6862,三集瑞-KY,204.50,4190531,9.95,KD 指標大於 80，可能形成黃金交叉
KD,2434,統懋,36.50,629539,9.94,KD 指標大於 80，可能形成黃金交叉
MACD,7610,聯友金屬-創,1345.00,363665,115.00,MACD 大於 0，可能進入上升趨勢
MACD,2327,國巨*,742.00,25023375,41.00,MACD 大於 0，可能進入上升趨勢
MACD,2472,立隆電,371.00,9320465,33.50,MACD 大於 0，可能進入上升趨勢
MACD,2492,華新科,390.00,5997371,29.00,MACD 大於 0，可能進入上升趨勢
MACD,8028,昇陽半導體,334.50,20115547,26.50,MACD 大於 0，可能進入上升趨勢
MACD,2428,興勤,292.50,2874111,26.50,MACD 大於 0，可能進入上升趨勢
MACD,6805,富世達,1765.00,3125907,25.00,MACD 大於 0，可能進入上升趨勢
MACD,3042,晶技,217.50,20696164,19.50,MACD 大於 0，可能進入上升趨勢
MACD,8454,富邦媒,210.00,2765166,19.00,MACD 大於 0，可能進入上升趨勢
MACD,6862,三集瑞-KY,204.50,4190531,18.50,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,9120.00,1108573,9457.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,7700.00,1512972,7750.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,5055.00,2289989,5180.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,4950.00,2157834,5012.50,均線持續上升，顯示多頭趨勢
SMA,3443,創意,4590.00,4074783,4845.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,4700.00,593987,4810.00,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,4410.00,16433052,4525.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4300.00,2420551,4400.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3500.00,2199582,3585.00,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,3425.00,1352548,3465.00,均線持續上升，顯示多頭趨勢
Momentum,1568,倉佑,41.25,1658522,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1524,耿鼎,31.90,5399702,110.00,動能指標上升，顯示市場買氣強勁
Momentum,6573,虹揚-KY,14.85,1341609,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1521,大億,26.95,205333,110.00,動能指標上升，顯示市場買氣強勁
Momentum,4566,時碩工業,67.20,4646886,109.98,動能指標上升，顯示市場買氣強勁
Momentum,1522,堤維西,31.45,3536658,109.97,動能指標上升，顯示市場買氣強勁
Momentum,2428,興勤,292.50,2874111,109.96,動能指標上升，顯示市場買氣強勁
Momentum,8454,富邦媒,210.00,2765166,109.95,動能指標上升，顯示市場買氣強勁
Momentum,6862,三集瑞-KY,204.50,4190531,109.95,動能指標上升，顯示市場買氣強勁
Momentum,2434,統懋,36.50,629539,109.94,動能指標上升，顯示市場買氣強勁
ChipRatio,3481,群創,46.40,1259689849,12596.90,籌碼集中度提升，顯示主力介入
ChipRatio,00403A,主動統一升級50,10.47,808934322,8089.34,籌碼集中度提升，顯示主力介入
ChipRatio,6770,力積電,80.70,742969935,7429.70,籌碼集中度提升，顯示主力介入
ChipRatio,2409,友達,21.20,538705306,5387.05,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,30.72,493712092,4937.12,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,142.00,418286433,4182.86,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,144.00,362557912,3625.58,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,34.47,341625355,3416.25,籌碼集中度提升，顯示主力介入
ChipRatio,6116,彩晶,15.55,326422854,3264.23,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,14.80,294376691,2943.77,籌碼集中度提升，顯示主力介入
Bollinger,00753L,中信中國50正2,9.33,32753676,-1.56%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00882,中信中國高股息,15.34,15335237,-0.45%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00984D,主動聯博全球非投,10.07,15470588,0.71%,貼近布林下軌，落入超賣區間
Bollinger,00953B,群益優選非投等債,9.58,24759152,0.82%,貼近布林下軌，落入超賣區間
Bollinger,5876,上海商銀,38.65,16133014,1.39%,貼近布林下軌，落入超賣區間
Bollinger,1402,遠東新,24.80,105947023,1.70%,貼近布林下軌，落入超賣區間
Bollinger,2633,台灣高鐵,24.80,19395430,1.92%,貼近布林下軌，落入超賣區間
Bollinger,009819,中信數據及電力,10.18,14788071,2.78%,貼近布林下軌，落入超賣區間
Bollinger,009805,新光美國電力基建,16.71,12698859,3.60%,貼近布林下軌，落入超賣區間
Bollinger,3045,台灣大,111.00,20078822,3.66%,貼近布林下軌，落入超賣區間
