技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,7711,永擎,531.00,318431,47.37,RSI 低於 30，可能即將反彈
RSI,3661,世芯-KY,3650.00,5595150,47.37,RSI 低於 30，可能即將反彈
RSI,6994,富威電力,29.35,2234014,47.38,RSI 低於 30，可能即將反彈
RSI,9921,巨大,87.60,5413165,47.38,RSI 低於 30，可能即將反彈
RSI,9914,美利達,69.70,5894846,47.38,RSI 低於 30，可能即將反彈
RSI,7750,新代,1995.00,526912,47.39,RSI 低於 30，可能即將反彈
RSI,6949,沛爾生醫*-創,53.00,13618885,47.41,RSI 低於 30，可能即將反彈
RSI,6863,永道-KY,91.20,332673,47.90,RSI 低於 30，可能即將反彈
RSI,6226,光鼎,30.00,41710661,47.92,RSI 低於 30，可能即將反彈
RSI,6141,柏承,51.00,4241696,47.93,RSI 低於 30，可能即將反彈
KD,00715L,期街口布蘭特正2,70.65,14497230,12.14,KD 指標大於 80，可能形成黃金交叉
KD,6706,惠特,137.50,6196518,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2468,華經,35.80,4234479,9.98,KD 指標大於 80，可能形成黃金交叉
KD,3296,勝德,26.00,405295,9.94,KD 指標大於 80，可能形成黃金交叉
KD,3229,晟鈦,67.50,7223482,9.93,KD 指標大於 80，可能形成黃金交叉
KD,3311,閎暉,35.00,419620,9.89,KD 指標大於 80，可能形成黃金交叉
KD,6909,創控,43.90,818553,9.89,KD 指標大於 80，可能形成黃金交叉
KD,1528,恩德,21.20,9585675,9.84,KD 指標大於 80，可能形成黃金交叉
KD,6924,榮惠-KY創,141.50,77998,9.69,KD 指標大於 80，可能形成黃金交叉
KD,2444,兆勁,12.20,1486861,8.93,KD 指標大於 80，可能形成黃金交叉
MACD,1560,中砂,790.00,4096116,57.00,MACD 大於 0，可能進入上升趨勢
MACD,8996,高力,1330.00,5053896,30.00,MACD 大於 0，可能進入上升趨勢
MACD,6831,邁科,567.00,661071,15.00,MACD 大於 0，可能進入上升趨勢
