技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,7822,倍利科,1510.00,881544,47.11,RSI 低於 30，可能即將反彈
RSI,8046,南電,522.00,22840420,47.37,RSI 低於 30，可能即將反彈
RSI,4960,誠美材,24.30,24343063,47.37,RSI 低於 30，可能即將反彈
RSI,2408,南亞科,198.50,147689561,47.37,RSI 低於 30，可能即將反彈
RSI,6442,光聖,1900.00,2987049,47.38,RSI 低於 30，可能即將反彈
RSI,3563,牧德,760.00,5644882,47.38,RSI 低於 30，可能即將反彈
RSI,6426,統新,136.00,337606,47.39,RSI 低於 30，可能即將反彈
RSI,3037,欣興,444.50,10008247,47.39,RSI 低於 30，可能即將反彈
RSI,2441,超豐,84.50,10072091,47.39,RSI 低於 30，可能即將反彈
RSI,3006,晶豪科,150.00,6035737,47.39,RSI 低於 30，可能即將反彈
KD,1323,永裕,23.10,886767,10.00,KD 指標大於 80，可能形成黃金交叉
KD,1528,恩德,26.95,33533681,10.00,KD 指標大於 80，可能形成黃金交叉
KD,7721,微程式,74.00,782718,9.96,KD 指標大於 80，可能形成黃金交叉
KD,6934,心誠鎂,77.40,164471,9.94,KD 指標大於 80，可能形成黃金交叉
KD,6919,康霈*,86.30,20025939,9.94,KD 指標大於 80，可能形成黃金交叉
KD,1906,寶隆,13.90,2200608,9.88,KD 指標大於 80，可能形成黃金交叉
KD,1338,廣華-KY,15.60,376330,9.86,KD 指標大於 80，可能形成黃金交叉
KD,1905,華紙,18.55,39064303,9.76,KD 指標大於 80，可能形成黃金交叉
KD,1324,地球,11.95,871857,9.63,KD 指標大於 80，可能形成黃金交叉
KD,6226,光鼎,12.70,1787123,8.09,KD 指標大於 80，可能形成黃金交叉
MACD,6830,汎銓,467.50,9104593,15.50,MACD 大於 0，可能進入上升趨勢
MACD,6919,康霈*,86.30,20025939,7.80,MACD 大於 0，可能進入上升趨勢
MACD,6831,邁科,386.00,1292446,7.00,MACD 大於 0，可能進入上升趨勢
MACD,6934,心誠鎂,77.40,164471,7.00,MACD 大於 0，可能進入上升趨勢
MACD,7721,微程式,74.00,782718,6.70,MACD 大於 0，可能進入上升趨勢
MACD,1590,亞德客-KY,993.00,1067599,6.00,MACD 大於 0，可能進入上升趨勢
MACD,3305,昇貿,107.00,6782731,3.00,MACD 大於 0，可能進入上升趨勢
MACD,4439,冠星-KY,86.80,40018,2.80,MACD 大於 0，可能進入上升趨勢
MACD,4994,傳奇,96.60,19255,2.60,MACD 大於 0，可能進入上升趨勢
MACD,6890,來億-KY,160.50,386241,2.50,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,7150.00,301077,7412.50,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3795.00,1954849,3842.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,3505.00,1306906,3607.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,3300.00,1509215,3335.00,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,3175.00,971316,3317.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,2600.00,4694642,2692.50,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,2485.00,4829385,2617.50,均線持續上升，顯示多頭趨勢
SMA,3443,創意,2165.00,2605583,2237.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,2155.00,804638,2167.50,均線持續上升，顯示多頭趨勢
SMA,3533,嘉澤,2050.00,3276301,2135.00,均線持續上升，顯示多頭趨勢
Momentum,1323,永裕,23.10,886767,110.00,動能指標上升，顯示市場買氣強勁
Momentum,1528,恩德,26.95,33533681,110.00,動能指標上升，顯示市場買氣強勁
Momentum,7721,微程式,74.00,782718,109.96,動能指標上升，顯示市場買氣強勁
Momentum,6934,心誠鎂,77.40,164471,109.94,動能指標上升，顯示市場買氣強勁
Momentum,6919,康霈*,86.30,20025939,109.94,動能指標上升，顯示市場買氣強勁
Momentum,1906,寶隆,13.90,2200608,109.88,動能指標上升，顯示市場買氣強勁
Momentum,1338,廣華-KY,15.60,376330,109.86,動能指標上升，顯示市場買氣強勁
Momentum,1905,華紙,18.55,39064303,109.76,動能指標上升，顯示市場買氣強勁
Momentum,1324,地球,11.95,871857,109.63,動能指標上升，顯示市場買氣強勁
Momentum,6226,光鼎,12.70,1787123,108.09,動能指標上升，顯示市場買氣強勁
ChipRatio,00981A,主動統一台股增長,19.48,476472855,4764.73,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,19.26,317428710,3174.29,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,10.22,314644664,3146.45,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,23.85,305201390,3052.01,籌碼集中度提升，顯示主力介入
ChipRatio,0050,元大台灣50,72.35,257738774,2577.39,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,90.20,248002672,2480.03,籌碼集中度提升，顯示主力介入
ChipRatio,6770,力積電,53.10,207091698,2070.92,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,14.82,174584121,1745.84,籌碼集中度提升，顯示主力介入
ChipRatio,00919,群益台灣精選高息,22.02,172777698,1727.78,籌碼集中度提升，顯示主力介入
ChipRatio,00992A,主動群益科技創新,12.49,162929042,1629.29,籌碼集中度提升，顯示主力介入
