技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,6451,訊芯-KY,499.50,7505099,47.37,RSI 低於 30，可能即將反彈
RSI,1762,中化生,35.55,2489616,47.37,RSI 低於 30，可能即將反彈
RSI,2455,全新,320.00,13723008,47.37,RSI 低於 30，可能即將反彈
RSI,6806,森崴能源,4.48,688858,47.41,RSI 低於 30，可能即將反彈
RSI,7610,聯友金屬-創,1555.00,376067,47.41,RSI 低於 30，可能即將反彈
RSI,3057,喬鼎,18.80,625875,47.53,RSI 低於 30，可能即將反彈
RSI,8101,華冠,15.05,17850,47.55,RSI 低於 30，可能即將反彈
RSI,6192,巨路,117.50,1507815,47.67,RSI 低於 30，可能即將反彈
RSI,5521,工信,10.25,18722231,47.67,RSI 低於 30，可能即將反彈
RSI,6742,澤米,54.60,3120183,47.73,RSI 低於 30，可能即將反彈
KD,3532,台勝科,297.00,1086517,10.00,KD 指標大於 80，可能形成黃金交叉
KD,2483,百容,34.65,5780640,10.00,KD 指標大於 80，可能形成黃金交叉
KD,8150,南茂,97.10,65334546,9.97,KD 指標大於 80，可能形成黃金交叉
KD,2425,承啟,36.45,1445426,9.95,KD 指標大於 80，可能形成黃金交叉
KD,6155,鈞寶,84.10,27732952,9.93,KD 指標大於 80，可能形成黃金交叉
KD,2355,敬鵬,58.70,28290063,9.93,KD 指標大於 80，可能形成黃金交叉
KD,1714,和桐,14.40,98457282,9.92,KD 指標大於 80，可能形成黃金交叉
KD,3090,日電貿,233.00,26407041,9.91,KD 指標大於 80，可能形成黃金交叉
KD,2243,宏旭-KY,33.85,4387150,9.90,KD 指標大於 80，可能形成黃金交叉
KD,2406,國碩,39.40,67627939,9.90,KD 指標大於 80，可能形成黃金交叉
MACD,6515,穎崴,8720.00,552827,595.00,MACD 大於 0，可能進入上升趨勢
MACD,7769,鴻勁,7055.00,794945,215.00,MACD 大於 0，可能進入上升趨勢
MACD,2383,台光電,5095.00,2793147,155.00,MACD 大於 0，可能進入上升趨勢
MACD,3443,創意,4105.00,2049636,80.00,MACD 大於 0，可能進入上升趨勢
MACD,6781,AES-KY,1155.00,2197628,75.00,MACD 大於 0，可能進入上升趨勢
MACD,3026,禾伸堂,695.00,3544235,53.00,MACD 大於 0，可能進入上升趨勢
MACD,2404,漢唐,1195.00,4892552,45.00,MACD 大於 0，可能進入上升趨勢
MACD,3008,大立光,4165.00,4290350,35.00,MACD 大於 0，可能進入上升趨勢
MACD,6239,力成,333.00,17419175,30.00,MACD 大於 0，可能進入上升趨勢
MACD,2059,川湖,6400.00,634094,30.00,MACD 大於 0，可能進入上升趨勢
SMA,6515,穎崴,8720.00,552827,8422.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,7055.00,794945,6947.50,均線持續上升，顯示多頭趨勢
SMA,2059,川湖,6400.00,634094,6385.00,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,5095.00,2793147,5017.50,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,4900.00,2945125,4982.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,4165.00,4290350,4147.50,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,4085.00,17556610,4120.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,4105.00,2049636,4065.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,4060.00,2101750,4050.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3620.00,2496268,3710.00,均線持續上升，顯示多頭趨勢
Momentum,3532,台勝科,297.00,1086517,110.00,動能指標上升，顯示市場買氣強勁
Momentum,2483,百容,34.65,5780640,110.00,動能指標上升，顯示市場買氣強勁
Momentum,8150,南茂,97.10,65334546,109.97,動能指標上升，顯示市場買氣強勁
Momentum,2425,承啟,36.45,1445426,109.95,動能指標上升，顯示市場買氣強勁
Momentum,6155,鈞寶,84.10,27732952,109.93,動能指標上升，顯示市場買氣強勁
Momentum,2355,敬鵬,58.70,28290063,109.93,動能指標上升，顯示市場買氣強勁
Momentum,1714,和桐,14.40,98457282,109.92,動能指標上升，顯示市場買氣強勁
Momentum,3090,日電貿,233.00,26407041,109.91,動能指標上升，顯示市場買氣強勁
Momentum,2243,宏旭-KY,33.85,4387150,109.90,動能指標上升，顯示市場買氣強勁
Momentum,2406,國碩,39.40,67627939,109.90,動能指標上升，顯示市場買氣強勁
ChipRatio,00403A,主動統一升級50,9.99,769629485,7696.29,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,29.71,436202963,4362.03,籌碼集中度提升，顯示主力介入
ChipRatio,00405A,主動富邦台灣龍耀,8.91,431651095,4316.51,籌碼集中度提升，顯示主力介入
ChipRatio,2303,聯電,125.00,362586174,3625.86,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,33.23,359116433,3591.16,籌碼集中度提升，顯示主力介入
ChipRatio,2409,友達,23.15,320575053,3205.75,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,10.83,310306363,3103.06,籌碼集中度提升，顯示主力介入
ChipRatio,0050,元大台灣50,99.85,299040372,2990.40,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,14.53,241731028,2417.31,籌碼集中度提升，顯示主力介入
ChipRatio,2344,華邦電,156.50,237289830,2372.90,籌碼集中度提升，顯示主力介入
Bollinger,2455,全新,320.00,13723008,-5.26%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,3036,文曄,232.50,25183186,-2.09%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,009805,新光美國電力基建,15.73,15240217,-0.44%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00665L,富邦恒生國企正2,8.91,20541552,0.23%,貼近布林下軌，落入超賣區間
Bollinger,00753L,中信中國50正2,9.11,16105192,0.33%,貼近布林下軌，落入超賣區間
Bollinger,00953B,群益優選非投等債,9.58,35242929,0.55%,貼近布林下軌，落入超賣區間
Bollinger,1717,長興,67.80,11398413,0.57%,貼近布林下軌，落入超賣區間
Bollinger,00983A,主動中信ARK創新,11.04,24156455,0.89%,貼近布林下軌，落入超賣區間
Bollinger,00945B,凱基美國非投等債,14.48,10710136,1.07%,貼近布林下軌，落入超賣區間
Bollinger,00712,復華富時不動產,8.77,32879415,1.23%,貼近布林下軌，落入超賣區間
